_id;amparo_legal;codigo_infracao;descricao_infracao;escopo_autuacao;mes;;quantidade_autos;uf;m�s;ano
604f7a61a60b104ea49ba005;ARTIGO 3º, ALÍNEA A, INCISO 11 DO DECRETO 5462/2005;3111;ARTIGO 3º - ALÍNEA A - INCISO 11 - SUSPENDER UM SERVIÇO AUTORIZADO, EXCETO EM CASO DE FORÇA MAIOR;Transporte Rodoviário Internacional de Passageiros;ABRIL;;1;SP;4;2019
604f7a61a60b104ea49ba006;ARTIGO 2º, ALÍNEA A, INCISO 4 DO DECRETO 5462/2005;2104;ARTIGO 2º - ALÍNEA A - INCISO 4 - NÃO POSSUIR SEGUROS VIGENTES;Transporte Rodoviário Internacional de Passageiros;MAIO;;1;AC;5;2019
604f7a61a60b104ea49ba007;ARTIGO 3º, ALÍNEA A, INCISO 11 DO DECRETO 5462/2005;3111;ARTIGO 3º - ALÍNEA A - INCISO 11 - SUSPENDER UM SERVIÇO AUTORIZADO, EXCETO EM CASO DE FORÇA MAIOR;Transporte Rodoviário Internacional de Passageiros;MAIO;;2;PR;5;2019
604f7a61a60b104ea49ba008;ARTIGO 4º, ALÍNEA A, INCISO 3 DO DECRETO 5462/2005;4103;ARTIGO 4º - ALÍNEA A - INCISO 3 - NÃO CUMPRIR OS HORÁRIOS DE INÍCIO DO SERVIÇO E/OU ALTERÁ-LOS SEM CAUSA JUSTIFICADA;Transporte Rodoviário Internacional de Passageiros;MAIO;;2;RJ;5;2019
604f7a61a60b104ea49ba009;ARTIGO 5º, ALÍNEA A, INCISO 4 DO DECRETO 5462/2005;5104;ARTIGO 5º - ALÍNEA A - INCISO 4 - NÃO CONTAR COM SISTEMA DE ATENDIMENTO DE RECLAMAÇÕES NOS LOCAIS DE VENDA DE PASSAGENS OU NOS TERMINAIS;Transporte Rodoviário Internacional de Passageiros;MAIO;;1;RJ;5;2019
604f7a61a60b104ea49ba00a;ARTIGO 3º, ALÍNEA A, INCISO 11 DO DECRETO 5462/2005;3111;ARTIGO 3º - ALÍNEA A - INCISO 11 - SUSPENDER UM SERVIÇO AUTORIZADO, EXCETO EM CASO DE FORÇA MAIOR;Transporte Rodoviário Internacional de Passageiros;MAIO;;2;SP;5;2019
604f7a61a60b104ea49ba00b;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""K"" DA RESOLUÇÃO ANTT Nº 233/2003";111;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""K""DA RES.ANTT Nº 233/2003 - TRAFEGAR COM VEÍCULO EM SERVIÇO, APRESENTANDO DEFEITO EM EQUIPAMENTO OU ITEM OBRIGATÓRIO.";Transporte Rodoviário Interestadual de Passageiros;JUNHO;;2;RS;6;2019
604f7a61a60b104ea49ba00c;ARTIGO 3º, ALÍNEA A, INCISO 11 DO DECRETO 5462/2005;3111;ARTIGO 3º - ALÍNEA A - INCISO 11 - SUSPENDER UM SERVIÇO AUTORIZADO, EXCETO EM CASO DE FORÇA MAIOR;Transporte Rodoviário Internacional de Passageiros;AGOSTO;;1;MS;8;2019
604f7a61a60b104ea49ba00d;ARTIGO 3º, ALÍNEA A, INCISO 5 DO DECRETO 5462/2005;3105;ARTIGO 3º - ALÍNEA A - INCISO 5 - REALIZAR UM SERVIÇO DIFERENTE DO AUTORIZADO;Transporte Rodoviário Internacional de Passageiros;AGOSTO;;1;MT;8;2019
604f7a61a60b104ea49ba00e;ARTIGO 3º, ALÍNEA A, INCISO 11 DO DECRETO 5462/2005;3111;ARTIGO 3º - ALÍNEA A - INCISO 11 - SUSPENDER UM SERVIÇO AUTORIZADO, EXCETO EM CASO DE FORÇA MAIOR;Transporte Rodoviário Internacional de Passageiros;AGOSTO;;2;PR;8;2019
604f7a61a60b104ea49ba00f;ARTIGO 4º, ALÍNEA A, INCISO 3 DO DECRETO 5462/2005;4103;ARTIGO 4º - ALÍNEA A - INCISO 3 - NÃO CUMPRIR OS HORÁRIOS DE INÍCIO DO SERVIÇO E/OU ALTERÁ-LOS SEM CAUSA JUSTIFICADA;Transporte Rodoviário Internacional de Passageiros;AGOSTO;;3;PR;8;2019
604f7a61a60b104ea49ba010;ARTIGO 5º, ALÍNEA A, INCISO 4 DO DECRETO 5462/2005;5104;ARTIGO 5º - ALÍNEA A - INCISO 4 - NÃO CONTAR COM SISTEMA DE ATENDIMENTO DE RECLAMAÇÕES NOS LOCAIS DE VENDA DE PASSAGENS OU NOS TERMINAIS;Transporte Rodoviário Internacional de Passageiros;AGOSTO;;1;RJ;8;2019
604f7a61a60b104ea49ba011;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""M"" DA RESOLUÇÃO ANTT Nº 233/2003";313;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""M"" DA RES.ANTT Nº 233/2003 - ALT. PELA RES. ANTT Nº 5063/16 - NÃO DISPONIBILIZAR OS ASSENTOS PREVISTOS PARA TRANSPORTE GRATUITO E COM DESCONTO NO VALOR DE PASSAGEM, NA QUANTIDADE E PRAZO ESTABELECIDOS NA LEGISLAÇÃO ESPECÍFICA.";Transporte Rodoviário Interestadual de Passageiros;OUTUBRO;;1;RS;10;2019
604f7a61a60b104ea49ba012;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""A"" DA RESOLUÇÃO ANTT Nº 233/2003";101;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""A"" DA RES.ANTT Nº 233/2003 - REALIZAR TRANSPORTE PERMISSIONADO DE PASSAGEIROS, SEM A EMISSÃO DE BILHETE.";Transporte Rodoviário Interestadual de Passageiros;NOVEMBRO;;2;RS;11;2019
604f7a61a60b104ea49ba013;ARTIGO 3º, ALÍNEA A, INCISO 11 DO DECRETO 5462/2005;3111;ARTIGO 3º - ALÍNEA A - INCISO 11 - SUSPENDER UM SERVIÇO AUTORIZADO, EXCETO EM CASO DE FORÇA MAIOR;Transporte Rodoviário Internacional de Passageiros;NOVEMBRO;;1;SC;11;2019
604f7a61a60b104ea49ba014;ARTIGO 3º, ALÍNEA A, INCISO 11 DO DECRETO 5462/2005;3111;ARTIGO 3º - ALÍNEA A - INCISO 11 - SUSPENDER UM SERVIÇO AUTORIZADO, EXCETO EM CASO DE FORÇA MAIOR;Transporte Rodoviário Internacional de Passageiros;NOVEMBRO;;1;SP;11;2019
604f7a61a60b104ea49ba015;ARTIGO 4º, ALÍNEA A, INCISO 3 DO DECRETO 5462/2005;4103;ARTIGO 4º - ALÍNEA A - INCISO 3 - NÃO CUMPRIR OS HORÁRIOS DE INÍCIO DO SERVIÇO E/OU ALTERÁ-LOS SEM CAUSA JUSTIFICADA;Transporte Rodoviário Internacional de Passageiros;DEZEMBRO;;1;RS;12;2019
